ID	blink_time
17	243.786
17	247.626
17	251.808
17	253.866
17	255.167
17	256.575
17	257.109
17	263.989
17	267.786
17	272.33
17	275.466
17	280.266
17	280.512
17	280.746
17	281.813
17	282.016
17	283.392
17	286.634
17	292.512
17	295.989
17	299.872
17	302.826
17	310.346
17	311.616
17	311.808
17	312.053
17	313.696
17	314.826
17	315.029
17	320.832
17	321.706
17	329.13
17	330.314
17	334.688
17	338.314
17	341.472
17	341.674
17	348.97
17	350.336
17	352.234
17	355.306
17	356.671
17	358.794
17	360.032
17	363.914
17	366.41
17	367.914
17	368.394
17	369.269
17	370.826
17	373.13
17	374.41
17	376.426
17	379.168
17	381.408
17	383.114
17	383.573
17	385.834
17	388.416
17	392.106
17	395.392
17	396.33
17	397.493
17	398.986
17	399.914
17	411.413
17	414.826
17	425.728
17	430.293
17	431.189
17	431.509
17	432.192
17	434.336
17	438.026
17	438.474
17	443.146
17	445.248
17	452.352
17	456.33
17	457.472
17	457.695
17	459.647
17	464.032
17	470.794
17	473.813
17	480.992
17	481.994
17	483.253
17	483.488
17	483.733
17	484.448
17	486.112
17	491.093
17	497.77
17	498.41
17	499.712
17	506.688
17	520.81
17	524.586
17	529.226
17	530.826
17	531.466
17	534.528
17	541.312
17	543.306
17	545.706
17	546.272
17	551.733
17	553.173
17	554.869
17	555.936
17	556.608
17	557.109
17	558.293
17	559.232
17	560.736
17	562.048
17	564.49
17	564.992
17	566.549
17	567.786
17	569.151
17	572.149
17	573.546
17	576.149
17	581.706
17	586.976
17	591.829
17	599.53
17	602.549
17	603.786
17	604.853
17	606.25
17	607.253
17	608.053
17	609.749
17	610.688
17	612.394
17	616.714
17	620.031
17	624.106
17	626.208
17	626.474
17	628.853
17	636.832
19	0.736
19	1.813
19	2.314
19	5.61
19	7.712
19	33.557
19	33.877
19	34.176
19	70.89
19	71.456
19	74.25
19	79.114
19	84.437
19	85.29
19	85.77
19	87.039
19	89.119
19	89.813
19	91.573
19	92.853
19	93.333
19	95.936
19	97.237
19	104.277
19	116.213
19	131.573
19	136.17
19	136.458
19	137.077
19	137.674
19	144.298
19	156.64
19	181.098
19	197.653
19	202.336
19	205.994
19	211.914
19	217.013
19	222.73
19	223.04
19	224.832
19	225.834
19	229.194
19	238.517
19	249.653
19	255.232
19	256.117
19	279.594
19	286.997
19	287.797
19	297.717
19	298.111
19	320.234
19	327.797
19	352.64
19	368.437
19	382.88
19	404.49
19	408.16
19	419.733
19	422.176
19	426.154
19	430.613
19	434.133
19	448.65
19	451.658
19	455.957
19	461.354
19	464.693
19	468.277
19	468.736
19	469.29
19	473.173
19	476.117
19	480.874
19	508.213
19	516.714
19	525.6
19	531.658
19	533.93
19	534.72
19	535.136
19	547.68
19	549.152
19	553.312
19	556.714
19	558.037
19	575.295
19	582.4
19	583.093
19	597.28
19	599.53
19	601.151
19	611.637
19	615.658
19	616.533
19	623.957
19	624.352
19	624.896
19	629.514
19	630.954
19	635.552
19	636.554
19	637.216
20	4.693
20	6.239
20	13.674
20	19.978
20	20.938
